Id,SalePrice
1461,123951.551098
1462,163211.581611
1463,166404.273133
1464,180844.178719
1465,253232.821191
1466,178212.974929
1467,175298.159568
1468,166131.417269
1469,191569.902697
1470,112152.941453
1471,150702.206678
1472,97444.1682095
1473,91426.1241935
1474,144758.675711
1475,152476.729177
1476,385660.821955
1477,282376.599023
1478,361642.00765
1479,299487.910914
1480,422211.612642
1481,310249.391988
1482,248600.120259
1483,177329.740935
1484,171475.587036
1485,189487.363301
1486,199617.874278
1487,330322.752204
1488,259630.211392
1489,207247.17367
1490,205176.546387
1491,197564.256208
1492,124111.320837
1493,173801.308016
1494,320647.579062
1495,312265.353297
1496,200486.59288
1497,184242.549919
1498,155644.841537
1499,155299.359241
1500,139917.061056
1501,156496.413398
1502,148115.95028
1503,251132.278162
1504,259436.85928
1505,222857.950984
1506,195152.292741
1507,214767.762607
1508,171657.92219
1509,169450.923313
1510,137156.116172
1511,135947.673689
1512,159335.311814
1513,176440.930701
1514,147086.499778
1515,195727.683524
1516,152436.534323
1517,160850.132405
1518,131503.255908
1519,180884.966392
1520,131084.205474
1521,136194.67672
1522,170239.899749
1523,113286.654158
1524,139396.072911
1525,128080.749553
1526,92653.9763859
1527,110873.811182
1528,136756.079251
1529,138431.37388
1530,170637.361468
1531,127505.314565
1532,95878.1827695
1533,139536.466466
1534,125662.866153
1535,133777.999115
1536,103091.25787
1537,47348.4694361
1538,193832.410672
1539,235121.730961
1540,127613.651608
1541,125050.096841
1542,141916.887861
1543,188737.900802
1544,100683.71864
1545,131636.558598
1546,129593.608202
1547,132767.947511
1548,148465.478769
1549,114068.503052
1550,131959.84758
1551,105281.89365
1552,136193.61638
1553,134531.717674
1554,115484.853883
1555,194044.174782
1556,115257.036691
1557,95935.1780391
1558,94120.2287843
1559,118331.738259
1560,132221.370507
1561,119023.380297
1562,127805.904939
1563,114663.182673
1564,117604.759677
1565,136185.692772
1566,226393.324671
1567,77025.066345
1568,210995.917555
1569,109323.936868
1570,143615.627065
1571,122060.105217
1572,136176.716562
1573,178440.943718
1574,109146.379251
1575,198560.51167
1576,200249.501121
1577,188609.684645
1578,171541.962188
1579,147809.890007
1580,203120.882837
1581,165740.752438
1582,144077.710866
1583,265127.988407
1584,227198.693186
1585,126921.353743
1586,69350.1399264
1587,119323.455625
1588,132030.71675
1589,93298.2794915
1590,130773.432956
1591,106864.976908
1592,116488.29949
1593,104219.00919
1594,185898.986446
1595,106603.694101
1596,234285.731329
1597,208596.869906
1598,230688.849504
1599,192049.275904
1600,195687.961508
1601,54261.4461909
1602,105424.97442
1603,98829.0863357
1604,231818.496624
1605,237022.566996
1606,171430.017133
1607,185396.07262
1608,203024.922787
1609,194125.393286
1610,163640.997072
1611,155016.599578
1612,162183.071132
1613,157993.68762
1614,105798.719606
1615,89285.0297368
1616,68299.7870024
1617,83662.8055988
1618,139108.795543
1619,139734.54694
1620,171787.960358
1621,138767.496015
1622,139489.203585
1623,244087.716594
1624,183278.76963
1625,130410.95365
1626,161674.911912
1627,175520.070091
1628,264025.052314
1629,202015.684586
1630,328009.301178
1631,266188.49217
1632,281684.140008
1633,187707.801877
1634,175799.904604
1635,169359.977663
1636,163600.060819
1637,189148.499069
1638,212844.75329
1639,186032.746301
1640,255153.274851
1641,182583.744083
1642,231214.333735
1643,261039.835157
1644,257806.089646
1645,175864.654076
1646,152739.52098
1647,169621.745115
1648,133163.432753
1649,137310.178997
1650,116049.683524
1651,122895.254808
1652,97444.1682095
1653,103108.794108
1654,144560.088389
1655,159789.333974
1656,139129.576308
1657,144588.921487
1658,139137.29946
1659,152386.11087
1660,142590.881118
1661,412335.595911
1662,406494.671543
1663,381150.032443
1664,441215.485875
1665,363923.627426
1666,298532.521763
1667,331218.822722
1668,363714.909016
1669,351412.488405
1670,369186.915608
1671,265012.85439
1672,408254.452868
1673,318938.133986
1674,284390.040713
1675,200095.47498
1676,196096.61304
1677,219363.142129
1678,431019.259462
1679,322473.926123
1680,350032.578108
1681,324198.027478
1682,294333.060807
1683,218633.146366
1684,184414.226663
1685,167878.512699
1686,175909.031712
1687,187496.849805
1688,193209.105968
1689,192178.213677
1690,185358.996731
1691,176240.985334
1692,248058.265492
1693,187651.312828
1694,169050.959745
1695,189948.175991
1696,237695.921888
1697,195663.259811
1698,340458.571472
1699,316825.436198
1700,271331.631354
1701,312967.451849
1702,266751.477246
1703,263991.022098
1704,266559.188956
1705,250049.620588
1706,384609.008155
1707,219535.968221
1708,217854.363596
1709,328483.505267
1710,250153.845781
1711,257956.213565
1712,273467.267078
1713,234283.151837
1714,226851.562699
1715,218106.287997
1716,190262.101649
1717,178950.889592
1718,162442.712946
1719,205965.319911
1720,232455.568129
1721,180219.850264
1722,150464.304739
1723,150144.051404
1724,197172.669992
1725,224779.76938
1726,187749.335329
1727,152081.308285
1728,189065.383099
1729,175353.735367
1730,190220.72988
1731,122524.500565
1732,120671.23136
1733,115305.233974
1734,124671.314504
1735,131930.107017
1736,122820.987167
1737,307025.725066
1738,269117.37919
1739,262430.811727
1740,196556.709322
1741,168905.288875
1742,156505.68118
1743,170862.27219
1744,300526.025971
1745,246051.679014
1746,312546.665907
1747,213585.412076
1748,234658.685177
1749,147593.345157
1750,152413.611708
1751,233053.040971
1752,119742.508402
1753,157066.387923
1754,205952.651645
1755,164694.415552
1756,123867.690414
1757,126090.193874
1758,141136.807394
1759,174217.54053
1760,147491.820539
1761,141174.910912
1762,181944.117978
1763,170763.97828
1764,121124.776429
1765,176749.436508
1766,168657.465299
1767,186314.14187
1768,143009.033733
1769,179706.637488
1770,149195.824513
1771,134940.768104
1772,145606.985113
1773,132026.344993
1774,137950.561112
1775,150064.581153
1776,131831.927138
1777,97606.2444111
1778,138672.850238
1779,135817.970685
1780,182471.585168
1781,140924.525713
1782,84519.1200753
1783,128047.168732
1784,85325.7609063
1785,107250.609755
1786,161977.626804
1787,169783.914207
1788,52867.7569398
1789,93796.5209093
1790,64669.0925736
1791,200167.50229
1792,169945.707844
1793,129293.546317
1794,159338.099395
1795,147974.842081
1796,149418.711457
1797,116920.004231
1798,130344.228012
1799,117792.040411
1800,127782.244617
1801,133379.47352
1802,149870.960781
1803,168006.910346
1804,103889.545728
1805,143122.976768
1806,129850.122516
1807,150960.678199
1808,119305.904481
1809,115058.434429
1810,110050.506776
1811,119874.322374
1812,110372.189158
1813,112692.143125
1814,83456.0115728
1815,44204.8636607
1816,92366.4375733
1817,89837.0749819
1818,155758.843816
1819,110681.824164
1820,49152.6785048
1821,127794.865602
1822,127639.695194
1823,47823.4017688
1824,151089.581324
1825,139148.763908
1826,108489.113263
1827,112699.508769
1828,140288.499283
1829,112892.568494
1830,135603.542504
1831,173271.641861
1832,139189.59253
1833,142383.259642
1834,120038.370886
1835,156355.644065
1836,142164.920364
1837,108490.098007
1838,128795.081492
1839,127119.585667
1840,99982.3199988
1841,97007.7316465
1842,71574.6508531
1843,133421.007164
1844,139327.068672
1845,166836.935072
1846,141344.329757
1847,212028.640172
1848,69646.750622
1849,136680.324852
1850,118833.972528
1851,161642.133653
1852,124349.504261
1853,94159.6817871
